coin_id,date,open,high,low,close,volume
bitcoin,2025-03-13,"Ticker
BTC-USD    83724.921875
Name: 2025-03-13 00:00:00, dtype: float64","Ticker
BTC-USD    84301.695312
Name: 2025-03-13 00:00:00, dtype: float64","Ticker
BTC-USD    79931.851562
Name: 2025-03-13 00:00:00, dtype: float64","Ticker
BTC-USD    81066.703125
Name: 2025-03-13 00:00:00, dtype: float64","Ticker
BTC-USD    3.141294e+10
Name: 2025-03-13 00:00:00, dtype: float64"
bitcoin,2025-03-14,"Ticker
BTC-USD    81066.992188
Name: 2025-03-14 00:00:00, dtype: float64","Ticker
BTC-USD    85263.289062
Name: 2025-03-14 00:00:00, dtype: float64","Ticker
BTC-USD    80797.5625
Name: 2025-03-14 00:00:00, dtype: float64","Ticker
BTC-USD    83969.101562
Name: 2025-03-14 00:00:00, dtype: float64","Ticker
BTC-USD    2.958811e+10
Name: 2025-03-14 00:00:00, dtype: float64"
bitcoin,2025-03-15,"Ticker
BTC-USD    83968.40625
Name: 2025-03-15 00:00:00, dtype: float64","Ticker
BTC-USD    84672.671875
Name: 2025-03-15 00:00:00, dtype: float64","Ticker
BTC-USD    83639.59375
Name: 2025-03-15 00:00:00, dtype: float64","Ticker
BTC-USD    84343.109375
Name: 2025-03-15 00:00:00, dtype: float64","Ticker
BTC-USD    1.365049e+10
Name: 2025-03-15 00:00:00, dtype: float64"
bitcoin,2025-03-16,"Ticker
BTC-USD    84333.320312
Name: 2025-03-16 00:00:00, dtype: float64","Ticker
BTC-USD    85051.601562
Name: 2025-03-16 00:00:00, dtype: float64","Ticker
BTC-USD    82017.90625
Name: 2025-03-16 00:00:00, dtype: float64","Ticker
BTC-USD    82579.6875
Name: 2025-03-16 00:00:00, dtype: float64","Ticker
BTC-USD    2.133027e+10
Name: 2025-03-16 00:00:00, dtype: float64"
bitcoin,2025-03-17,"Ticker
BTC-USD    82576.335938
Name: 2025-03-17 00:00:00, dtype: float64","Ticker
BTC-USD    84725.328125
Name: 2025-03-17 00:00:00, dtype: float64","Ticker
BTC-USD    82492.15625
Name: 2025-03-17 00:00:00, dtype: float64","Ticker
BTC-USD    84075.6875
Name: 2025-03-17 00:00:00, dtype: float64","Ticker
BTC-USD    2.509279e+10
Name: 2025-03-17 00:00:00, dtype: float64"
bitcoin,2025-03-18,"Ticker
BTC-USD    84075.71875
Name: 2025-03-18 00:00:00, dtype: float64","Ticker
BTC-USD    84075.71875
Name: 2025-03-18 00:00:00, dtype: float64","Ticker
BTC-USD    81179.992188
Name: 2025-03-18 00:00:00, dtype: float64","Ticker
BTC-USD    82718.5
Name: 2025-03-18 00:00:00, dtype: float64","Ticker
BTC-USD    2.409577e+10
Name: 2025-03-18 00:00:00, dtype: float64"
bitcoin,2025-03-19,"Ticker
BTC-USD    82718.804688
Name: 2025-03-19 00:00:00, dtype: float64","Ticker
BTC-USD    87021.1875
Name: 2025-03-19 00:00:00, dtype: float64","Ticker
BTC-USD    82569.726562
Name: 2025-03-19 00:00:00, dtype: float64","Ticker
BTC-USD    86854.226562
Name: 2025-03-19 00:00:00, dtype: float64","Ticker
BTC-USD    3.493196e+10
Name: 2025-03-19 00:00:00, dtype: float64"
bitcoin,2025-03-20,"Ticker
BTC-USD    86872.953125
Name: 2025-03-20 00:00:00, dtype: float64","Ticker
BTC-USD    87443.265625
Name: 2025-03-20 00:00:00, dtype: float64","Ticker
BTC-USD    83647.195312
Name: 2025-03-20 00:00:00, dtype: float64","Ticker
BTC-USD    84167.195312
Name: 2025-03-20 00:00:00, dtype: float64","Ticker
BTC-USD    2.902899e+10
Name: 2025-03-20 00:00:00, dtype: float64"
bitcoin,2025-03-21,"Ticker
BTC-USD    84164.539062
Name: 2025-03-21 00:00:00, dtype: float64","Ticker
BTC-USD    84782.273438
Name: 2025-03-21 00:00:00, dtype: float64","Ticker
BTC-USD    83171.070312
Name: 2025-03-21 00:00:00, dtype: float64","Ticker
BTC-USD    84043.242188
Name: 2025-03-21 00:00:00, dtype: float64","Ticker
BTC-USD    1.903045e+10
Name: 2025-03-21 00:00:00, dtype: float64"
bitcoin,2025-03-22,"Ticker
BTC-USD    84046.257812
Name: 2025-03-22 00:00:00, dtype: float64","Ticker
BTC-USD    84513.875
Name: 2025-03-22 00:00:00, dtype: float64","Ticker
BTC-USD    83674.78125
Name: 2025-03-22 00:00:00, dtype: float64","Ticker
BTC-USD    83832.484375
Name: 2025-03-22 00:00:00, dtype: float64","Ticker
BTC-USD    9.863214e+09
Name: 2025-03-22 00:00:00, dtype: float64"
bitcoin,2025-03-23,"Ticker
BTC-USD    83831.898438
Name: 2025-03-23 00:00:00, dtype: float64","Ticker
BTC-USD    86094.78125
Name: 2025-03-23 00:00:00, dtype: float64","Ticker
BTC-USD    83794.914062
Name: 2025-03-23 00:00:00, dtype: float64","Ticker
BTC-USD    86054.375
Name: 2025-03-23 00:00:00, dtype: float64","Ticker
BTC-USD    1.259462e+10
Name: 2025-03-23 00:00:00, dtype: float64"
bitcoin,2025-03-24,"Ticker
BTC-USD    86070.929688
Name: 2025-03-24 00:00:00, dtype: float64","Ticker
BTC-USD    88758.726562
Name: 2025-03-24 00:00:00, dtype: float64","Ticker
BTC-USD    85541.195312
Name: 2025-03-24 00:00:00, dtype: float64","Ticker
BTC-USD    87498.914062
Name: 2025-03-24 00:00:00, dtype: float64","Ticker
BTC-USD    3.458260e+10
Name: 2025-03-24 00:00:00, dtype: float64"
bitcoin,2025-03-25,"Ticker
BTC-USD    87512.820312
Name: 2025-03-25 00:00:00, dtype: float64","Ticker
BTC-USD    88542.398438
Name: 2025-03-25 00:00:00, dtype: float64","Ticker
BTC-USD    86346.078125
Name: 2025-03-25 00:00:00, dtype: float64","Ticker
BTC-USD    87471.703125
Name: 2025-03-25 00:00:00, dtype: float64","Ticker
BTC-USD    3.000584e+10
Name: 2025-03-25 00:00:00, dtype: float64"
bitcoin,2025-03-26,"Ticker
BTC-USD    87460.234375
Name: 2025-03-26 00:00:00, dtype: float64","Ticker
BTC-USD    88292.15625
Name: 2025-03-26 00:00:00, dtype: float64","Ticker
BTC-USD    85861.453125
Name: 2025-03-26 00:00:00, dtype: float64","Ticker
BTC-USD    86900.882812
Name: 2025-03-26 00:00:00, dtype: float64","Ticker
BTC-USD    2.670405e+10
Name: 2025-03-26 00:00:00, dtype: float64"
bitcoin,2025-03-27,"Ticker
BTC-USD    86896.257812
Name: 2025-03-27 00:00:00, dtype: float64","Ticker
BTC-USD    87786.726562
Name: 2025-03-27 00:00:00, dtype: float64","Ticker
BTC-USD    85837.9375
Name: 2025-03-27 00:00:00, dtype: float64","Ticker
BTC-USD    87177.101562
Name: 2025-03-27 00:00:00, dtype: float64","Ticker
BTC-USD    2.441347e+10
Name: 2025-03-27 00:00:00, dtype: float64"
bitcoin,2025-03-28,"Ticker
BTC-USD    87185.234375
Name: 2025-03-28 00:00:00, dtype: float64","Ticker
BTC-USD    87489.859375
Name: 2025-03-28 00:00:00, dtype: float64","Ticker
BTC-USD    83557.640625
Name: 2025-03-28 00:00:00, dtype: float64","Ticker
BTC-USD    84353.148438
Name: 2025-03-28 00:00:00, dtype: float64","Ticker
BTC-USD    3.419862e+10
Name: 2025-03-28 00:00:00, dtype: float64"
bitcoin,2025-03-29,"Ticker
BTC-USD    84352.070312
Name: 2025-03-29 00:00:00, dtype: float64","Ticker
BTC-USD    84567.335938
Name: 2025-03-29 00:00:00, dtype: float64","Ticker
BTC-USD    81634.140625
Name: 2025-03-29 00:00:00, dtype: float64","Ticker
BTC-USD    82597.585938
Name: 2025-03-29 00:00:00, dtype: float64","Ticker
BTC-USD    1.696940e+10
Name: 2025-03-29 00:00:00, dtype: float64"
bitcoin,2025-03-30,"Ticker
BTC-USD    82596.984375
Name: 2025-03-30 00:00:00, dtype: float64","Ticker
BTC-USD    83505.0
Name: 2025-03-30 00:00:00, dtype: float64","Ticker
BTC-USD    81573.25
Name: 2025-03-30 00:00:00, dtype: float64","Ticker
BTC-USD    82334.523438
Name: 2025-03-30 00:00:00, dtype: float64","Ticker
BTC-USD    1.476376e+10
Name: 2025-03-30 00:00:00, dtype: float64"
bitcoin,2025-03-31,"Ticker
BTC-USD    82336.0625
Name: 2025-03-31 00:00:00, dtype: float64","Ticker
BTC-USD    83870.125
Name: 2025-03-31 00:00:00, dtype: float64","Ticker
BTC-USD    81293.890625
Name: 2025-03-31 00:00:00, dtype: float64","Ticker
BTC-USD    82548.914062
Name: 2025-03-31 00:00:00, dtype: float64","Ticker
BTC-USD    2.900423e+10
Name: 2025-03-31 00:00:00, dtype: float64"
bitcoin,2025-04-01,"Ticker
BTC-USD    82551.921875
Name: 2025-04-01 00:00:00, dtype: float64","Ticker
BTC-USD    85487.367188
Name: 2025-04-01 00:00:00, dtype: float64","Ticker
BTC-USD    82429.359375
Name: 2025-04-01 00:00:00, dtype: float64","Ticker
BTC-USD    85169.171875
Name: 2025-04-01 00:00:00, dtype: float64","Ticker
BTC-USD    2.817565e+10
Name: 2025-04-01 00:00:00, dtype: float64"
bitcoin,2025-04-02,"Ticker
BTC-USD    85180.609375
Name: 2025-04-02 00:00:00, dtype: float64","Ticker
BTC-USD    88466.953125
Name: 2025-04-02 00:00:00, dtype: float64","Ticker
BTC-USD    82343.539062
Name: 2025-04-02 00:00:00, dtype: float64","Ticker
BTC-USD    82485.710938
Name: 2025-04-02 00:00:00, dtype: float64","Ticker
BTC-USD    4.758440e+10
Name: 2025-04-02 00:00:00, dtype: float64"
bitcoin,2025-04-03,"Ticker
BTC-USD    82487.476562
Name: 2025-04-03 00:00:00, dtype: float64","Ticker
BTC-USD    83909.296875
Name: 2025-04-03 00:00:00, dtype: float64","Ticker
BTC-USD    81282.101562
Name: 2025-04-03 00:00:00, dtype: float64","Ticker
BTC-USD    83102.828125
Name: 2025-04-03 00:00:00, dtype: float64","Ticker
BTC-USD    3.685211e+10
Name: 2025-04-03 00:00:00, dtype: float64"
bitcoin,2025-04-04,"Ticker
BTC-USD    83100.25
Name: 2025-04-04 00:00:00, dtype: float64","Ticker
BTC-USD    84696.148438
Name: 2025-04-04 00:00:00, dtype: float64","Ticker
BTC-USD    81670.75
Name: 2025-04-04 00:00:00, dtype: float64","Ticker
BTC-USD    83843.804688
Name: 2025-04-04 00:00:00, dtype: float64","Ticker
BTC-USD    4.515764e+10
Name: 2025-04-04 00:00:00, dtype: float64"
bitcoin,2025-04-05,"Ticker
BTC-USD    83844.703125
Name: 2025-04-05 00:00:00, dtype: float64","Ticker
BTC-USD    84207.015625
Name: 2025-04-05 00:00:00, dtype: float64","Ticker
BTC-USD    82377.734375
Name: 2025-04-05 00:00:00, dtype: float64","Ticker
BTC-USD    83504.796875
Name: 2025-04-05 00:00:00, dtype: float64","Ticker
BTC-USD    1.438080e+10
Name: 2025-04-05 00:00:00, dtype: float64"
bitcoin,2025-04-06,"Ticker
BTC-USD    83504.507812
Name: 2025-04-06 00:00:00, dtype: float64","Ticker
BTC-USD    83704.71875
Name: 2025-04-06 00:00:00, dtype: float64","Ticker
BTC-USD    77097.742188
Name: 2025-04-06 00:00:00, dtype: float64","Ticker
BTC-USD    78214.484375
Name: 2025-04-06 00:00:00, dtype: float64","Ticker
BTC-USD    3.629485e+10
Name: 2025-04-06 00:00:00, dtype: float64"
bitcoin,2025-04-07,"Ticker
BTC-USD    78221.335938
Name: 2025-04-07 00:00:00, dtype: float64","Ticker
BTC-USD    81119.0625
Name: 2025-04-07 00:00:00, dtype: float64","Ticker
BTC-USD    74436.679688
Name: 2025-04-07 00:00:00, dtype: float64","Ticker
BTC-USD    79235.335938
Name: 2025-04-07 00:00:00, dtype: float64","Ticker
BTC-USD    9.126242e+10
Name: 2025-04-07 00:00:00, dtype: float64"
